Categoria,Marca,Fornecedor Padrão,CodigoNFe,NumeroSerie,PesoKG,PesoLiquidoKG,Código Fornecedor Padrão,Nome,EAN (Codigo Barras),GrupoTributario,NCM,CFOP,Genero,EstoqueUnidade,Tamanho/Dimensões,PrecoCusto,TipoPrecoFixado,ValorPrecoFixado,DespesasFixas %,DespesasOperacionais %,Frete_Compra %,Seguro_Compra %,IPI_Compra %,Comissao,Comissao_Representacao %,ICMS_Compra,ICMSSTCompraPercentual,FCPSTCompraPercentual,Identificador,UnidadeComercial,SituacaoIPI,IPI_EnquadramentoLegal,AliquotaIPI,CEST,Prateleira,PrecoMinimoVenda,VisivelCatalogo,OcultarNasVendas,Categoria EXEMPLO,OrigemMercadoria,PlanoDeConta,CBenef,ProdutoPossuiUnidadeComercialDiferenteDeUnidadeTributaria,FatorDeConversaoUnidadeComercialParaTributavel,EAN_UnidadeTributavel,UnidadeTributavel_NFe,EstoqueCompra,EstoqueRisco,IgnorarEstoque,InformacoesAdicionais,Modelo,Validade,Vendido por Peso ou Unidade,CadastroInativo,Responsável Padrão Produção,Responsável Padrão Qualidade,Responsável Padrão Finalização,Grupo Informações Crédito Presumido
---,---,---,71,---,"0,00","0,00",---,ARREMATE TIPO GESSO TABACO 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"26,00",3 - Preço de Venda,"45,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db44idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01022990,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,85,---,"0,00","0,00",---,ARREMATE U CEREJEIRA 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"20,00",3 - Preço de Venda,"36,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbb4idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01023110,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,125,---,"0,00","0,00",---,ARREMATE U IMBUIA,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"22,00",3 - Preço de Venda,"38,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85c4b4444bace91dc05idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01023190,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,86,---,"0,00","0,00",---,ARREMATE U TABACO 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"20,00",3 - Preço de Venda,"36,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbbeidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01023911,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,74,---,"0,00","0,00",---,BROCA ACO RAP 0.40MM.5/32,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"4,00",3 - Preço de Venda,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db5eidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01023919,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,43,---,"0,00","0,00",---,BROCA ACO RAP E 1/8 3MM,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"3,00",3 - Preço de Venda,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db8bidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01023990,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,42,---,"0,00","0,00",---,BROCA CONCR VIDIA 6MM IRWIN,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"7,00",3 - Preço de Venda,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db85idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01029000,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,110,---,"0,00","0,00",---,BROCA MATERLETE 6MM,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"10,00",3 - Preço de Venda,"15,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db8cidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01031000,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,54,---,"0,00","0,00",---,BUCHA C/ANEL UNID,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"0,02",3 - Preço de Venda,"0,05","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbdfidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01039100,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,28,---,"0,00","0,00",---,CALHA 300MM ACO INOX 304 P/ VIDRO 10MM POLIDA,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"81,00",3 - Preço de Venda,"110,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbf1idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01039200,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,22,---,"0,00","0,00",---,"CANOPLA ACAB. 1.1/2 X75X0,8MM ACO INOX 304 POLIDO",---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"12,35",3 - Preço de Venda,"14,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbc4idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01041011,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,27,---,"0,00","0,00",---,"CANOPLA ACAB. 1.1/4 X75X0,8MM ACO INOX 304 POLIDO",---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"10,25",3 - Preço de Venda,"13,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbecidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01041019,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,26,---,"0,00","0,00",---,"CANOPLA ACAB. 2''X100X0,8MM ACO INOX 304 POLIDO",---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"13,00",3 - Preço de Venda,"17,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbe5idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01041090,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,20,---,"0,00","0,00",---,CANTO EXTERNO ER BRANCO 29,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"3,00",3 - Preço de Venda,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbb5idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01042010,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,19,---,"0,00","0,00",---,CANTO INT ER BRANCO 29,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"3,00",3 - Preço de Venda,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbaeidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01042090,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
